It.no.|   Time    |time step |SOR iterations | residual | SOR converged 
    740 |  5.439626 | 0.003593 |      82      | 0.000987 | Yes 
    741 |  5.443218 | 0.003593 |      80      | 0.000997 | Yes 
    742 |  5.446811 | 0.003593 |      302      | 0.000998 | Yes 
    743 |  5.450403 | 0.003593 |      175      | 0.000982 | Yes 
    744 |  5.453996 | 0.003593 |      302      | 0.000991 | Yes 
    745 |  5.457588 | 0.003593 |      514      | 0.000991 | Yes 
    746 |  5.461181 | 0.003593 |      501      | 0.000999 | Yes 
    747 |  5.464773 | 0.003593 |      164      | 0.000991 | Yes 
    748 |  5.468366 | 0.003593 |      32      | 0.000858 | Yes 
    749 |  5.471959 | 0.003593 |      106      | 0.000990 | Yes 
    750 |  5.475551 | 0.003593 |      180      | 0.000990 | Yes 
    751 |  5.479144 | 0.003593 |      74      | 0.000998 | Yes 
    752 |  5.482736 | 0.003593 |      308      | 0.000994 | Yes 
    753 |  5.486329 | 0.003593 |      171      | 0.000986 | Yes 
    754 |  5.489921 | 0.003593 |      296      | 0.000998 | Yes 
    755 |  5.493514 | 0.003593 |      511      | 0.000998 | Yes 
    756 |  5.497106 | 0.003593 |      499      | 0.000999 | Yes 
    757 |  5.500699 | 0.003593 |      300      | 0.000984 | Yes 
    758 |  5.504291 | 0.003593 |      279      | 0.000997 | Yes 
    759 |  5.507884 | 0.003593 |      251      | 0.000993 | Yes 
    760 |  5.511476 | 0.003593 |      200      | 0.000997 | Yes 
    761 |  5.515069 | 0.003593 |      27      | 0.000861 | Yes 
    762 |  5.518662 | 0.003593 |      52      | 0.000984 | Yes 
    763 |  5.522254 | 0.003593 |      69      | 0.000998 | Yes 
    764 |  5.525847 | 0.003593 |      184      | 0.001000 | Yes 
    765 |  5.529439 | 0.003593 |      218      | 0.000999 | Yes 
    766 |  5.533032 | 0.003593 |      77      | 0.000998 | Yes 
    767 |  5.536624 | 0.003593 |      114      | 0.000987 | Yes 
    768 |  5.540217 | 0.003593 |      56      | 0.000989 | Yes 
    769 |  5.543809 | 0.003593 |      379      | 0.000988 | Yes 
    770 |  5.547402 | 0.003593 |      584      | 0.000994 | Yes 
    771 |  5.550994 | 0.003593 |      595      | 0.001000 | Yes 
    772 |  5.554587 | 0.003593 |      144      | 0.000992 | Yes 
    773 |  5.558179 | 0.003593 |      93      | 0.000984 | Yes 
    774 |  5.561772 | 0.003593 |      132      | 0.000990 | Yes 
    775 |  5.565365 | 0.003593 |      53      | 0.000990 | Yes 
    776 |  5.568957 | 0.003593 |      164      | 0.000994 | Yes 
    777 |  5.572550 | 0.003593 |      138      | 0.000992 | Yes 
    778 |  5.576142 | 0.003593 |      33      | 0.000983 | Yes 
    779 |  5.579735 | 0.003593 |      140      | 0.000989 | Yes 
    780 |  5.583327 | 0.003593 |      119      | 0.000994 | Yes 
    781 |  5.586920 | 0.003593 |      41      | 0.000996 | Yes 
    782 |  5.590512 | 0.003593 |      62      | 0.000992 | Yes 
    783 |  5.594105 | 0.003593 |      227      | 0.000995 | Yes 
    784 |  5.597697 | 0.003593 |      101      | 0.000989 | Yes 
    785 |  5.601290 | 0.003593 |      50      | 0.000981 | Yes 
    786 |  5.604883 | 0.003593 |      67      | 0.000999 | Yes 
    787 |  5.608475 | 0.003593 |      281      | 0.000984 | Yes 
    788 |  5.612068 | 0.003593 |      139      | 0.000988 | Yes 
    789 |  5.615660 | 0.003593 |      55      | 0.000975 | Yes 
    790 |  5.619253 | 0.003593 |      46      | 0.000954 | Yes 
    791 |  5.622845 | 0.003593 |      150      | 0.000996 | Yes 
    792 |  5.626438 | 0.003593 |      114      | 0.000997 | Yes 
    793 |  5.630030 | 0.003593 |      199      | 0.000980 | Yes 
    794 |  5.633623 | 0.003593 |      179      | 0.000990 | Yes 
    795 |  5.637215 | 0.003593 |      61      | 0.000991 | Yes 
    796 |  5.640808 | 0.003593 |      57      | 0.000986 | Yes 
    797 |  5.644400 | 0.003593 |      30      | 0.000977 | Yes 
    798 |  5.647993 | 0.003593 |      68      | 0.000996 | Yes 
    799 |  5.651586 | 0.003593 |      47      | 0.000989 | Yes 
    800 |  5.655178 | 0.003593 |      374      | 0.000987 | Yes 
    801 |  5.658771 | 0.003593 |      589      | 0.000993 | Yes 
    802 |  5.662363 | 0.003593 |      602      | 0.000990 | Yes 
    803 |  5.665956 | 0.003593 |      139      | 0.000987 | Yes 
    804 |  5.669548 | 0.003593 |      150      | 0.000998 | Yes 
    805 |  5.673141 | 0.003593 |      48      | 0.000997 | Yes 
    806 |  5.676733 | 0.003593 |      282      | 0.000996 | Yes 
    807 |  5.680326 | 0.003593 |      266      | 0.000998 | Yes 
    808 |  5.683918 | 0.003593 |      473      | 0.000990 | Yes 
    809 |  5.687511 | 0.003594 |      451      | 0.000997 | Yes 
    810 |  5.691105 | 0.003594 |      36      | 0.000836 | Yes 
    811 |  5.694699 | 0.003594 |      98      | 0.000991 | Yes 
    812 |  5.698293 | 0.003594 |      79      | 0.000994 | Yes 
    813 |  5.701887 | 0.003594 |      72      | 0.000996 | Yes 
    814 |  5.705480 | 0.003594 |      109      | 0.000993 | Yes 
    815 |  5.709074 | 0.003594 |      120      | 0.000989 | Yes 
    816 |  5.712668 | 0.003594 |      97      | 0.000997 | Yes 
    817 |  5.716262 | 0.004952 |      73      | 0.000999 | Yes 
    818 |  5.721214 | 0.004952 |      144      | 0.000998 | Yes 
    819 |  5.726167 | 0.004952 |      130      | 0.000994 | Yes 
    820 |  5.731119 | 0.004952 |      45      | 0.000988 | Yes 
    821 |  5.736071 | 0.004952 |      82      | 0.000986 | Yes 
    822 |  5.741024 | 0.004952 |      169      | 0.000990 | Yes 
    823 |  5.745976 | 0.004952 |      69      | 0.000999 | Yes 
    824 |  5.750928 | 0.004952 |      59      | 0.000998 | Yes 
    825 |  5.755880 | 0.004952 |      166      | 0.000998 | Yes 
    826 |  5.760833 | 0.004952 |      66      | 0.000990 | Yes 
    827 |  5.765785 | 0.004952 |      78      | 0.000987 | Yes 
    828 |  5.770737 | 0.004952 |      33      | 0.000975 | Yes 
    829 |  5.775690 | 0.004952 |      35      | 0.000970 | Yes 
    830 |  5.780642 | 0.004952 |      103      | 0.000994 | Yes 
    831 |  5.785594 | 0.004952 |      78      | 0.000984 | Yes 
    832 |  5.790546 | 0.004952 |      143      | 0.000986 | Yes 
    833 |  5.795499 | 0.004952 |      100      | 0.000986 | Yes 
    834 |  5.800451 | 0.004952 |      104      | 0.000991 | Yes 
    835 |  5.805403 | 0.004952 |      59      | 0.000988 | Yes 
    836 |  5.810356 | 0.004952 |      123      | 0.000990 | Yes 
    837 |  5.815308 | 0.004952 |      141      | 0.000993 | Yes 
    838 |  5.820260 | 0.004952 |      99      | 0.000992 | Yes 
    839 |  5.825212 | 0.004952 |      251      | 0.000984 | Yes 
    840 |  5.830165 | 0.004952 |      171      | 0.000984 | Yes 
    841 |  5.835117 | 0.004952 |      260      | 0.000979 | Yes 
    842 |  5.840069 | 0.004952 |      510      | 0.000988 | Yes 
    843 |  5.845022 | 0.004952 |      497      | 0.000989 | Yes 
    844 |  5.849974 | 0.004952 |      161      | 0.000988 | Yes 
    845 |  5.854926 | 0.004952 |      249      | 0.001000 | Yes 
    846 |  5.859878 | 0.004952 |      170      | 0.000998 | Yes 
    847 |  5.864831 | 0.004952 |      121      | 0.000988 | Yes 
    848 |  5.869783 | 0.004952 |      80      | 0.000971 | Yes 
    849 |  5.874735 | 0.004952 |      275      | 0.000987 | Yes 
    850 |  5.879688 | 0.004952 |      519      | 0.000999 | Yes 
    851 |  5.884640 | 0.004952 |      308      | 0.000986 | Yes 
    852 |  5.889592 | 0.004952 |      222      | 0.000999 | Yes 
    853 |  5.894544 | 0.004952 |      211      | 0.000992 | Yes 
    854 |  5.899497 | 0.004952 |      187      | 0.000985 | Yes 
    855 |  5.904449 | 0.004952 |      213      | 0.000986 | Yes 
    856 |  5.909401 | 0.004952 |      163      | 0.000988 | Yes 
    857 |  5.914354 | 0.004952 |      31      | 0.000960 | Yes 
    858 |  5.919306 | 0.004952 |      74      | 0.000981 | Yes 
    859 |  5.924258 | 0.004952 |      172      | 0.000995 | Yes 
    860 |  5.929210 | 0.004952 |      158      | 0.000981 | Yes 
    861 |  5.934163 | 0.004952 |      324      | 0.000990 | Yes 
    862 |  5.939115 | 0.004952 |      574      | 0.000992 | Yes 
    863 |  5.944067 | 0.004952 |      364      | 0.000983 | Yes 
    864 |  5.949020 | 0.004952 |      228      | 0.000983 | Yes 
    865 |  5.953972 | 0.004952 |      68      | 0.000981 | Yes 
    866 |  5.958924 | 0.004952 |      81      | 0.000986 | Yes 
    867 |  5.963876 | 0.004952 |      189      | 0.000978 | Yes 
    868 |  5.968829 | 0.004952 |      144      | 0.000987 | Yes 
    869 |  5.973781 | 0.004952 |      57      | 0.000989 | Yes 
    870 |  5.978733 | 0.004952 |      58      | 0.000976 | Yes 
    871 |  5.983686 | 0.004952 |      313      | 0.000999 | Yes 
    872 |  5.988638 | 0.004952 |      556      | 0.000997 | Yes 
    873 |  5.993590 | 0.004952 |      336      | 0.000979 | Yes 
    874 |  5.998542 | 0.004952 |      235      | 0.001000 | Yes 
    875 |  6.003495 | 0.004952 |      67      | 0.000997 | Yes 
    876 |  6.008447 | 0.004952 |      33      | 0.000999 | Yes 
    877 |  6.013399 | 0.004952 |      119      | 0.000982 | Yes 
    878 |  6.018352 | 0.004952 |      63      | 0.000982 | Yes 
    879 |  6.023304 | 0.004952 |      94      | 0.000984 | Yes 
    880 |  6.028256 | 0.004952 |      34      | 0.000956 | Yes 
    881 |  6.033208 | 0.004952 |      306      | 0.000999 | Yes 
    882 |  6.038161 | 0.004952 |      547      | 0.000989 | Yes 
    883 |  6.043113 | 0.004952 |      558      | 0.000996 | Yes 
    884 |  6.048065 | 0.004952 |      237      | 0.000987 | Yes 
    885 |  6.053018 | 0.004952 |      93      | 0.000990 | Yes 
    886 |  6.057970 | 0.004952 |      61      | 0.000991 | Yes 
    887 |  6.062922 | 0.004952 |      58      | 0.000966 | Yes 
    888 |  6.067874 | 0.004952 |      250      | 0.000979 | Yes 
    889 |  6.072827 | 0.004952 |      148      | 0.000982 | Yes 
    890 |  6.077779 | 0.004952 |      120      | 0.000989 | Yes 
    891 |  6.082731 | 0.004952 |      77      | 0.000997 | Yes 
    892 |  6.087684 | 0.004952 |      25      | 0.000826 | Yes 
    893 |  6.092636 | 0.004952 |      164      | 0.000994 | Yes 
    894 |  6.097588 | 0.004952 |      49      | 0.000984 | Yes 
    895 |  6.102540 | 0.004952 |      61      | 0.000980 | Yes 
    896 |  6.107493 | 0.004952 |      51      | 0.000993 | Yes 
    897 |  6.112445 | 0.004952 |      137      | 0.000988 | Yes 
    898 |  6.117397 | 0.004952 |      42      | 0.000976 | Yes 
    899 |  6.122349 | 0.004952 |      58      | 0.000997 | Yes 
    900 |  6.127302 | 0.004952 |      188      | 0.000975 | Yes 
    901 |  6.132254 | 0.004952 |      192      | 0.000982 | Yes 
    902 |  6.137206 | 0.004952 |      247      | 0.000987 | Yes 
    903 |  6.142159 | 0.004952 |      355      | 0.000995 | Yes 
    904 |  6.147111 | 0.004952 |      281      | 0.000986 | Yes 
    905 |  6.152063 | 0.004952 |      230      | 0.000998 | Yes 
    906 |  6.157015 | 0.004952 |      542      | 0.000995 | Yes 
    907 |  6.161968 | 0.004952 |      547      | 0.001000 | Yes 
    908 |  6.166920 | 0.004952 |      102      | 0.000984 | Yes 
    909 |  6.171872 | 0.004952 |      252      | 0.000990 | Yes 
    910 |  6.176825 | 0.004952 |      136      | 0.000990 | Yes 
    911 |  6.181777 | 0.004952 |      69      | 0.000986 | Yes 
    912 |  6.186729 | 0.004952 |      290      | 0.000983 | Yes 
    913 |  6.191681 | 0.004952 |      505      | 0.000987 | Yes 
    914 |  6.196634 | 0.004952 |      312      | 0.000992 | Yes 
    915 |  6.201586 | 0.004952 |      183      | 0.000977 | Yes 
    916 |  6.206538 | 0.004952 |      117      | 0.000981 | Yes 
    917 |  6.211491 | 0.004952 |      74      | 0.000984 | Yes 
    918 |  6.216443 | 0.004952 |      30      | 0.000987 | Yes 
    919 |  6.221395 | 0.004952 |      176      | 0.000995 | Yes 
    920 |  6.226347 | 0.004952 |      80      | 0.000986 | Yes 
    921 |  6.231300 | 0.004952 |      194      | 0.000974 | Yes 
    922 |  6.236252 | 0.004952 |      187      | 0.000986 | Yes 
    923 |  6.241204 | 0.004952 |      175      | 0.000989 | Yes 
    924 |  6.246157 | 0.004952 |      298      | 0.000988 | Yes 
    925 |  6.251109 | 0.004952 |      560      | 0.000992 | Yes 
    926 |  6.256061 | 0.004952 |      572      | 0.000992 | Yes 
    927 |  6.261013 | 0.004952 |      51      | 0.000990 | Yes 
    928 |  6.265966 | 0.004952 |      30      | 0.000991 | Yes 
    929 |  6.270918 | 0.004952 |      43      | 0.000997 | Yes 
    930 |  6.275870 | 0.004952 |      174      | 0.000999 | Yes 
    931 |  6.280823 | 0.004952 |      182      | 0.000990 | Yes 
    932 |  6.285775 | 0.004952 |      300      | 0.000989 | Yes 
    933 |  6.290727 | 0.004952 |      261      | 0.000988 | Yes 
    934 |  6.295679 | 0.004952 |      139      | 0.001000 | Yes 
    935 |  6.300632 | 0.004952 |      184      | 0.000999 | Yes 
    936 |  6.305584 | 0.004952 |      37      | 0.000996 | Yes 
    937 |  6.310536 | 0.004952 |      240      | 0.000997 | Yes 
    938 |  6.315489 | 0.004952 |      200      | 0.000991 | Yes 
    939 |  6.320441 | 0.004952 |      96      | 0.000991 | Yes 
    940 |  6.325393 | 0.004952 |      38      | 0.000988 | Yes 
    941 |  6.330345 | 0.004952 |      33      | 0.000971 | Yes 
    942 |  6.335298 | 0.004952 |      30      | 0.000933 | Yes 
    943 |  6.340250 | 0.004952 |      29      | 0.000974 | Yes 
    944 |  6.345202 | 0.004952 |      80      | 0.000995 | Yes 
    945 |  6.350155 | 0.004952 |      36      | 0.000989 | Yes 
    946 |  6.355107 | 0.004952 |      78      | 0.000986 | Yes 
    947 |  6.360059 | 0.004952 |      41      | 0.000988 | Yes 
    948 |  6.365011 | 0.004952 |      76      | 0.000990 | Yes 
    949 |  6.369964 | 0.004952 |      29      | 0.000995 | Yes 
    950 |  6.374916 | 0.004952 |      27      | 0.000964 | Yes 
    951 |  6.379868 | 0.004952 |      95      | 0.000999 | Yes 
    952 |  6.384821 | 0.004952 |      103      | 0.000998 | Yes 
    953 |  6.389773 | 0.004952 |      78      | 0.000993 | Yes 
    954 |  6.394725 | 0.004952 |      34      | 0.000977 | Yes 
    955 |  6.399677 | 0.004952 |      249      | 0.000981 | Yes 
    956 |  6.404630 | 0.004952 |      138      | 0.000995 | Yes 
    957 |  6.409582 | 0.004952 |      56      | 0.000968 | Yes 
    958 |  6.414534 | 0.004952 |      37      | 0.000978 | Yes 
    959 |  6.419487 | 0.004952 |      90      | 0.000990 | Yes 
    960 |  6.424439 | 0.004952 |      72      | 0.000982 | Yes 
    961 |  6.429391 | 0.004952 |      88      | 0.000981 | Yes 
    962 |  6.434343 | 0.004952 |      55      | 0.000996 | Yes 
    963 |  6.439296 | 0.004952 |      72      | 0.000982 | Yes 
    964 |  6.444248 | 0.004952 |      329      | 0.000980 | Yes 
    965 |  6.449200 | 0.004952 |      557      | 0.000986 | Yes 
    966 |  6.454153 | 0.004952 |      567      | 0.000998 | Yes 
    967 |  6.459105 | 0.004952 |      117      | 0.000991 | Yes 
    968 |  6.464057 | 0.004952 |      67      | 0.000990 | Yes 
    969 |  6.469009 | 0.004952 |      36      | 0.000941 | Yes 
    970 |  6.473962 | 0.004952 |      136      | 0.000988 | Yes 
    971 |  6.478914 | 0.004952 |      81      | 0.000999 | Yes 
    972 |  6.483866 | 0.004952 |      104      | 0.000993 | Yes 
    973 |  6.488819 | 0.004952 |      42      | 0.000970 | Yes 
    974 |  6.493771 | 0.004952 |      30      | 0.000995 | Yes 
    975 |  6.498723 | 0.004952 |      123      | 0.000997 | Yes 
    976 |  6.503675 | 0.004952 |      38      | 0.000985 | Yes 
    977 |  6.508628 | 0.004952 |      33      | 0.000961 | Yes 
    978 |  6.513580 | 0.004952 |      230      | 0.000989 | Yes 
    979 |  6.518532 | 0.004952 |      166      | 0.000976 | Yes 
    980 |  6.523485 | 0.004952 |      63      | 0.000974 | Yes 
    981 |  6.528437 | 0.004952 |      48      | 0.000978 | Yes 
    982 |  6.533389 | 0.004952 |      47      | 0.000966 | Yes 
    983 |  6.538341 | 0.004952 |      90      | 0.000993 | Yes 
    984 |  6.543294 | 0.004952 |      282      | 0.000987 | Yes 
    985 |  6.548246 | 0.004952 |      557      | 0.000992 | Yes 
    986 |  6.553198 | 0.004952 |      560      | 0.001000 | Yes 
    987 |  6.558150 | 0.004952 |      50      | 0.000989 | Yes 
    988 |  6.563103 | 0.004952 |      232      | 0.000997 | Yes 
    989 |  6.568055 | 0.004952 |      166      | 0.000974 | Yes 
    990 |  6.573007 | 0.004952 |      64      | 0.000985 | Yes 
    991 |  6.577960 | 0.004952 |      47      | 0.000970 | Yes 
    992 |  6.582912 | 0.004952 |      80      | 0.000999 | Yes 
    993 |  6.587864 | 0.004952 |      50      | 0.000993 | Yes 
    994 |  6.592816 | 0.004952 |      283      | 0.000979 | Yes 
    995 |  6.597769 | 0.004952 |      556      | 0.000999 | Yes 
    996 |  6.602721 | 0.004952 |      301      | 0.000977 | Yes 
    997 |  6.607673 | 0.004952 |      228      | 0.000981 | Yes 
    998 |  6.612626 | 0.004952 |      41      | 0.000983 | Yes 
    999 |  6.617578 | 0.004952 |      42      | 0.000987 | Yes 
    1000 |  6.622530 | 0.004952 |      83      | 0.000984 | Yes 
    1001 |  6.627482 | 0.004952 |      67      | 0.000980 | Yes 
    1002 |  6.632435 | 0.004952 |      277      | 0.000991 | Yes 
    1003 |  6.637387 | 0.004952 |      548      | 0.000996 | Yes 
    1004 |  6.642339 | 0.004952 |      551      | 0.000988 | Yes 
    1005 |  6.647292 | 0.004952 |      92      | 0.000987 | Yes 
    1006 |  6.652244 | 0.004952 |      231      | 0.000975 | Yes 
    1007 |  6.657196 | 0.004952 |      164      | 0.000989 | Yes 
    1008 |  6.662148 | 0.004952 |      90      | 0.000985 | Yes 
    1009 |  6.667101 | 0.004952 |      244      | 0.001000 | Yes 
    1010 |  6.672053 | 0.004952 |      527      | 0.000994 | Yes 
    1011 |  6.677005 | 0.004952 |      285      | 0.000986 | Yes 
    1012 |  6.681958 | 0.004952 |      212      | 0.000995 | Yes 
    1013 |  6.686910 | 0.004952 |      239      | 0.000995 | Yes 
    1014 |  6.691862 | 0.004952 |      506      | 0.000997 | Yes 
    1015 |  6.696814 | 0.004952 |      488      | 0.000997 | Yes 
    1016 |  6.701767 | 0.004952 |      74      | 0.000978 | Yes 
    1017 |  6.706719 | 0.004952 |      70      | 0.000993 | Yes 
    1018 |  6.711671 | 0.004952 |      35      | 0.000974 | Yes 
    1019 |  6.716624 | 0.004952 |      43      | 0.000984 | Yes 
    1020 |  6.721576 | 0.004952 |      42      | 0.000956 | Yes 
    1021 |  6.726528 | 0.004952 |      35      | 0.000985 | Yes 
    1022 |  6.731480 | 0.004952 |      96      | 0.000993 | Yes 
    1023 |  6.736433 | 0.004952 |      30      | 0.000998 | Yes 
    1024 |  6.741385 | 0.004952 |      34      | 0.000788 | Yes 
    1025 |  6.746337 | 0.004952 |      31      | 0.000978 | Yes 
    1026 |  6.751290 | 0.004952 |      24      | 0.000922 | Yes 
    1027 |  6.756242 | 0.004952 |      63      | 0.000987 | Yes 
    1028 |  6.761194 | 0.004952 |      34      | 0.000993 | Yes 
    1029 |  6.766146 | 0.004952 |      73      | 0.000997 | Yes 
    1030 |  6.771099 | 0.004952 |      55      | 0.000969 | Yes 
    1031 |  6.776051 | 0.004952 |      25      | 0.000941 | Yes 
    1032 |  6.781003 | 0.004952 |      32      | 0.000767 | Yes 
    1033 |  6.785956 | 0.004952 |      39      | 0.000946 | Yes 
    1034 |  6.790908 | 0.004952 |      31      | 0.000946 | Yes 
    1035 |  6.795860 | 0.004952 |      31      | 0.000996 | Yes 
    1036 |  6.800812 | 0.004952 |      30      | 0.000967 | Yes 
    1037 |  6.805765 | 0.004952 |      35      | 0.000813 | Yes 
    1038 |  6.810717 | 0.004952 |      53      | 0.000965 | Yes 
    1039 |  6.815669 | 0.004952 |      40      | 0.000954 | Yes 
    1040 |  6.820622 | 0.004952 |      52      | 0.000984 | Yes 
    1041 |  6.825574 | 0.004952 |      71      | 0.000962 | Yes 
    1042 |  6.830526 | 0.004952 |      61      | 0.000993 | Yes 
    1043 |  6.835478 | 0.004952 |      123      | 0.000992 | Yes 
    1044 |  6.840431 | 0.004952 |      76      | 0.000977 | Yes 
    1045 |  6.845383 | 0.004952 |      48      | 0.000990 | Yes 
    1046 |  6.850335 | 0.004952 |      54      | 0.000977 | Yes 
    1047 |  6.855288 | 0.004952 |      38      | 0.000958 | Yes 
    1048 |  6.860240 | 0.004952 |      57      | 0.000997 | Yes 
    1049 |  6.865192 | 0.004952 |      79      | 0.000990 | Yes 
    1050 |  6.870144 | 0.004952 |      32      | 0.000920 | Yes 
    1051 |  6.875097 | 0.004952 |      54      | 0.000984 | Yes 
    1052 |  6.880049 | 0.004952 |      112      | 0.000996 | Yes 
    1053 |  6.885001 | 0.004952 |      36      | 0.000983 | Yes 
    1054 |  6.889954 | 0.004952 |      46      | 0.000996 | Yes 
    1055 |  6.894906 | 0.004952 |      155      | 0.000999 | Yes 
    1056 |  6.899858 | 0.004952 |      141      | 0.000996 | Yes 
    1057 |  6.904810 | 0.004952 |      155      | 0.000991 | Yes 
    1058 |  6.909763 | 0.004952 |      123      | 0.000987 | Yes 
    1059 |  6.914715 | 0.004952 |      60      | 0.000993 | Yes 
    1060 |  6.919667 | 0.004952 |      110      | 0.000988 | Yes 
    1061 |  6.924620 | 0.004952 |      103      | 0.000987 | Yes 
    1062 |  6.929572 | 0.004952 |      89      | 0.000987 | Yes 
    1063 |  6.934524 | 0.004952 |      177      | 0.000994 | Yes 
    1064 |  6.939476 | 0.004952 |      133      | 0.000993 | Yes 
    1065 |  6.944429 | 0.004952 |      121      | 0.000998 | Yes 
    1066 |  6.949381 | 0.004952 |      147      | 0.000987 | Yes 
    1067 |  6.954333 | 0.004952 |      39      | 0.000991 | Yes 
    1068 |  6.959286 | 0.004952 |      188      | 0.001000 | Yes 
    1069 |  6.964238 | 0.004952 |      160      | 0.000987 | Yes 
    1070 |  6.969190 | 0.004952 |      113      | 0.000993 | Yes 
    1071 |  6.974142 | 0.004952 |      39      | 0.000915 | Yes 
    1072 |  6.979095 | 0.004952 |      76      | 0.000980 | Yes 
    1073 |  6.984047 | 0.004952 |      80      | 0.000984 | Yes 
    1074 |  6.988999 | 0.004952 |      34      | 0.000995 | Yes 
    1075 |  6.993952 | 0.004952 |      105      | 0.000987 | Yes 
    1076 |  6.998904 | 0.004952 |      189      | 0.000987 | Yes 
    1077 |  7.003856 | 0.004952 |      56      | 0.000997 | Yes 
    1078 |  7.008808 | 0.004952 |      29      | 0.000832 | Yes 
    1079 |  7.013761 | 0.004952 |      30      | 0.000981 | Yes 
    1080 |  7.018713 | 0.004952 |      38      | 0.000999 | Yes 
    1081 |  7.023665 | 0.004952 |      75      | 0.000998 | Yes 
    1082 |  7.028617 | 0.004952 |      98      | 0.000988 | Yes 
    1083 |  7.033570 | 0.004952 |      92      | 0.000990 | Yes 
    1084 |  7.038522 | 0.004952 |      98      | 0.000997 | Yes 
    1085 |  7.043474 | 0.004952 |      121      | 0.000993 | Yes 
    1086 |  7.048427 | 0.004952 |      152      | 0.000998 | Yes 
    1087 |  7.053379 | 0.004952 |      40      | 0.000973 | Yes 
    1088 |  7.058331 | 0.004952 |      122      | 0.000993 | Yes 
    1089 |  7.063283 | 0.004952 |      52      | 0.000981 | Yes 
    1090 |  7.068236 | 0.004952 |      31      | 0.000914 | Yes 
    1091 |  7.073188 | 0.004952 |      127      | 0.000990 | Yes 
    1092 |  7.078140 | 0.004952 |      160      | 0.000989 | Yes 
    1093 |  7.083093 | 0.004952 |      38      | 0.000821 | Yes 
    1094 |  7.088045 | 0.004952 |      213      | 0.000994 | Yes 
    1095 |  7.092997 | 0.004952 |      147      | 0.000991 | Yes 
    1096 |  7.097949 | 0.004952 |      42      | 0.000961 | Yes 
    1097 |  7.102902 | 0.004952 |      152      | 0.000995 | Yes 
    1098 |  7.107854 | 0.004952 |      224      | 0.000996 | Yes 
    1099 |  7.112806 | 0.004952 |      365      | 0.000998 | Yes 
    1100 |  7.117759 | 0.004952 |      303      | 0.000995 | Yes 
    1101 |  7.122711 | 0.004952 |      85      | 0.000995 | Yes 
    1102 |  7.127663 | 0.004952 |      270      | 0.000993 | Yes 
    1103 |  7.132615 | 0.004952 |      241      | 0.000988 | Yes 
    1104 |  7.137568 | 0.004952 |      51      | 0.000990 | Yes 
    1105 |  7.142520 | 0.004952 |      120      | 0.000996 | Yes 
    1106 |  7.147472 | 0.004952 |      191      | 0.000998 | Yes 
    1107 |  7.152425 | 0.004952 |      174      | 0.000988 | Yes 
    1108 |  7.157377 | 0.004952 |      270      | 0.000998 | Yes 
    1109 |  7.162329 | 0.004952 |      208      | 0.000997 | Yes 
    1110 |  7.167281 | 0.004952 |      51      | 0.000984 | Yes 
    1111 |  7.172234 | 0.004952 |      49      | 0.000984 | Yes 
    1112 |  7.177186 | 0.004952 |      168      | 0.000997 | Yes 
    1113 |  7.182138 | 0.004952 |      257      | 0.000990 | Yes 
    1114 |  7.187091 | 0.004952 |      199      | 0.000998 | Yes 
    1115 |  7.192043 | 0.004952 |      32      | 0.000951 | Yes 
    1116 |  7.196995 | 0.004952 |      146      | 0.000998 | Yes 
    1117 |  7.201947 | 0.004952 |      158      | 0.000994 | Yes 
    1118 |  7.206900 | 0.004952 |      114      | 0.000989 | Yes 
    1119 |  7.211852 | 0.004952 |      39      | 0.000992 | Yes 
    1120 |  7.216804 | 0.004952 |      190      | 0.000990 | Yes 
    1121 |  7.221757 | 0.004952 |      155      | 0.000990 | Yes 
    1122 |  7.226709 | 0.004952 |      34      | 0.000947 | Yes 
    1123 |  7.231661 | 0.004952 |      41      | 0.000963 | Yes 
    1124 |  7.236613 | 0.004952 |      50      | 0.000973 | Yes 
    1125 |  7.241566 | 0.004952 |      100      | 0.000996 | Yes 
    1126 |  7.246518 | 0.004952 |      55      | 0.000964 | Yes 
    1127 |  7.251470 | 0.004952 |      161      | 0.000997 | Yes 
    1128 |  7.256423 | 0.004952 |      183      | 0.000989 | Yes 
    1129 |  7.261375 | 0.004952 |      143      | 0.000996 | Yes 
    1130 |  7.266327 | 0.004952 |      273      | 0.000990 | Yes 
    1131 |  7.271279 | 0.004952 |      108      | 0.000987 | Yes 
    1132 |  7.276232 | 0.004952 |      199      | 0.000993 | Yes 
    1133 |  7.281184 | 0.004952 |      136      | 0.000992 | Yes 
    1134 |  7.286136 | 0.004952 |      199      | 0.000997 | Yes 
    1135 |  7.291089 | 0.004952 |      94      | 0.000990 | Yes 
    1136 |  7.296041 | 0.004952 |      124      | 0.000999 | Yes 
    1137 |  7.300993 | 0.004952 |      115      | 0.000996 | Yes 
    1138 |  7.305945 | 0.004952 |      85      | 0.000993 | Yes 
    1139 |  7.310898 | 0.004952 |      176      | 0.000993 | Yes 
    1140 |  7.315850 | 0.004952 |      364      | 0.000988 | Yes 
    1141 |  7.320802 | 0.006471 |      342      | 0.000993 | Yes 
    1142 |  7.327273 | 0.006471 |      271      | 0.000991 | Yes 
    1143 |  7.333743 | 0.006471 |      156      | 0.000990 | Yes 
    1144 |  7.340214 | 0.006471 |      42      | 0.000907 | Yes 
    1145 |  7.346684 | 0.006471 |      138      | 0.000997 | Yes 
