It.no.|   Time    |time step |SOR iterations | residual | SOR converged 
    93 |  2.055884 | 0.018224 |      242      | 0.000993 | Yes 
    94 |  2.074107 | 0.018988 |      339      | 0.000990 | Yes 
    95 |  2.093095 | 0.018692 |      269      | 0.000992 | Yes 
    96 |  2.111787 | 0.019790 |      312      | 0.001000 | Yes 
    97 |  2.131578 | 0.019460 |      662      | 0.000996 | Yes 
    98 |  2.151038 | 0.020950 |      645      | 0.000996 | Yes 
    99 |  2.171988 | 0.020246 |      230      | 0.000993 | Yes 
    100 |  2.192234 | 0.022066 |      187      | 0.000998 | Yes 
    101 |  2.214300 | 0.021143 |      321      | 0.000981 | Yes 
    102 |  2.235443 | 0.023294 |      241      | 0.000990 | Yes 
    103 |  2.258737 | 0.023255 |      211      | 0.000995 | Yes 
    104 |  2.281992 | 0.024187 |      318      | 0.000984 | Yes 
    105 |  2.306179 | 0.023104 |      679      | 0.000995 | Yes 
    106 |  2.329283 | 0.024673 |      670      | 0.000992 | Yes 
    107 |  2.353955 | 0.023723 |      210      | 0.001000 | Yes 
    108 |  2.377678 | 0.025727 |      230      | 0.000991 | Yes 
    109 |  2.403406 | 0.024505 |      140      | 0.000994 | Yes 
    110 |  2.427911 | 0.024510 |      165      | 0.000992 | Yes 
    111 |  2.452421 | 0.024510 |      61      | 0.000975 | Yes 
    112 |  2.476931 | 0.024510 |      185      | 0.000999 | Yes 
    113 |  2.501441 | 0.024261 |      53      | 0.000992 | Yes 
    114 |  2.525701 | 0.024261 |      71      | 0.000989 | Yes 
    115 |  2.549962 | 0.024261 |      235      | 0.000999 | Yes 
    116 |  2.574223 | 0.024510 |      86      | 0.000985 | Yes 
    117 |  2.598733 | 0.024510 |      176      | 0.000989 | Yes 
    118 |  2.623243 | 0.017111 |      131      | 0.000993 | Yes 
    119 |  2.640354 | 0.016870 |      136      | 0.000996 | Yes 
    120 |  2.657223 | 0.016135 |      92      | 0.000993 | Yes 
    121 |  2.673358 | 0.016135 |      124      | 0.000989 | Yes 
    122 |  2.689493 | 0.010734 |      30      | 0.000870 | Yes 
    123 |  2.700227 | 0.010734 |      204      | 0.000997 | Yes 
    124 |  2.710962 | 0.014940 |      88      | 0.000991 | Yes 
    125 |  2.725901 | 0.014997 |      65      | 0.000978 | Yes 
    126 |  2.740898 | 0.014788 |      164      | 0.000994 | Yes 
    127 |  2.755686 | 0.014653 |      162      | 0.000996 | Yes 
    128 |  2.770339 | 0.014718 |      57      | 0.000988 | Yes 
    129 |  2.785057 | 0.014672 |      75      | 0.000989 | Yes 
    130 |  2.799729 | 0.013328 |      72      | 0.000997 | Yes 
    131 |  2.813057 | 0.014428 |      91      | 0.001000 | Yes 
    132 |  2.827485 | 0.014987 |      45      | 0.000983 | Yes 
    133 |  2.842472 | 0.014987 |      79      | 0.000997 | Yes 
    134 |  2.857460 | 0.014216 |      64      | 0.000998 | Yes 
    135 |  2.871676 | 0.014222 |      117      | 0.000985 | Yes 
    136 |  2.885898 | 0.013885 |      224      | 0.000994 | Yes 
    137 |  2.899783 | 0.013673 |      182      | 0.000992 | Yes 
    138 |  2.913456 | 0.010445 |      44      | 0.000982 | Yes 
    139 |  2.923901 | 0.012808 |      119      | 0.000992 | Yes 
    140 |  2.936710 | 0.009453 |      30      | 0.000970 | Yes 
    141 |  2.946163 | 0.009453 |      167      | 0.000989 | Yes 
    142 |  2.955616 | 0.009453 |      61      | 0.000989 | Yes 
    143 |  2.965070 | 0.009453 |      40      | 0.000993 | Yes 
    144 |  2.974523 | 0.009453 |      89      | 0.000985 | Yes 
    145 |  2.983976 | 0.009453 |      78      | 0.001000 | Yes 
    146 |  2.993429 | 0.009870 |      120      | 0.001000 | Yes 
    147 |  3.003300 | 0.011179 |      238      | 0.000990 | Yes 
    148 |  3.014478 | 0.011179 |      594      | 0.000994 | Yes 
    149 |  3.025657 | 0.011179 |      99      | 0.000994 | Yes 
    150 |  3.036835 | 0.011179 |      164      | 0.000991 | Yes 
    151 |  3.048014 | 0.011064 |      78      | 0.000992 | Yes 
    152 |  3.059078 | 0.011179 |      123      | 0.000993 | Yes 
    153 |  3.070257 | 0.011179 |      198      | 0.000989 | Yes 
    154 |  3.081435 | 0.010959 |      177      | 0.000993 | Yes 
    155 |  3.092394 | 0.010188 |      107      | 0.000986 | Yes 
    156 |  3.102582 | 0.010295 |      45      | 0.000997 | Yes 
    157 |  3.112878 | 0.010383 |      158      | 0.000997 | Yes 
    158 |  3.123260 | 0.010383 |      78      | 0.000995 | Yes 
    159 |  3.133643 | 0.010120 |      238      | 0.000994 | Yes 
    160 |  3.143763 | 0.009839 |      182      | 0.000994 | Yes 
    161 |  3.153603 | 0.009764 |      78      | 0.000999 | Yes 
    162 |  3.163366 | 0.009653 |      147      | 0.000990 | Yes 
    163 |  3.173020 | 0.009582 |      104      | 0.000998 | Yes 
    164 |  3.182602 | 0.009478 |      60      | 0.000985 | Yes 
    165 |  3.192080 | 0.009410 |      199      | 0.000996 | Yes 
    166 |  3.201490 | 0.009279 |      123      | 0.000997 | Yes 
    167 |  3.210769 | 0.009201 |      174      | 0.000990 | Yes 
    168 |  3.219970 | 0.009044 |      84      | 0.000989 | Yes 
    169 |  3.229014 | 0.009155 |      68      | 0.000981 | Yes 
    170 |  3.238168 | 0.009034 |      221      | 0.000991 | Yes 
