It.no.|   Time    |time step |SOR iterations | residual | SOR converged 
    93 |  4.326165 | 0.026471 |      21      | 0.000875 | Yes 
    94 |  4.352636 | 0.025411 |      29      | 0.000958 | Yes 
    95 |  4.378046 | 0.024469 |      27      | 0.000956 | Yes 
    96 |  4.402516 | 0.023626 |      24      | 0.000769 | Yes 
    97 |  4.426141 | 0.022865 |      58      | 0.000960 | Yes 
    98 |  4.449006 | 0.022173 |      27      | 0.000976 | Yes 
    99 |  4.471179 | 0.046210 |      27      | 0.000952 | Yes 
    100 |  4.517389 | 0.040562 |      35      | 0.000944 | Yes 
    101 |  4.557952 | 0.036995 |      32      | 0.000965 | Yes 
    102 |  4.594947 | 0.034229 |      33      | 0.000965 | Yes 
    103 |  4.629176 | 0.032009 |      54      | 0.000977 | Yes 
    104 |  4.661186 | 0.030176 |      52      | 0.000963 | Yes 
    105 |  4.691362 | 0.028628 |      23      | 0.000975 | Yes 
    106 |  4.719989 | 0.027297 |      46      | 0.000960 | Yes 
    107 |  4.747287 | 0.050000 |      48      | 0.000964 | Yes 
    108 |  4.797287 | 0.049322 |      52      | 0.000988 | Yes 
    109 |  4.846608 | 0.050000 |      30      | 0.000984 | Yes 
    110 |  4.896608 | 0.042216 |      39      | 0.000984 | Yes 
    111 |  4.938824 | 0.027831 |      25      | 0.000968 | Yes 
    112 |  4.966655 | 0.050000 |      24      | 0.000911 | Yes 
